               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.014311,           0.0049911,           0.0016645,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.54e-05,            7.54e-05,            7.54e-05
                  84,            0.014238,           0.0049016,           0.0018835,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.51e-05,            7.51e-05,            7.51e-05
                  85,            0.014171,           0.0048211,           0.0018736,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.48e-05,            7.48e-05,            7.48e-05
                  86,            0.014103,           0.0048369,           0.0021921,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.45e-05,            7.45e-05,            7.45e-05
                  87,            0.014157,           0.0047828,           0.0018076,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.42e-05,            7.42e-05,            7.42e-05
                  88,            0.013919,           0.0046965,           0.0016031,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.39e-05,            7.39e-05,            7.39e-05
                  89,              0.0142,           0.0048006,           0.0017095,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.36e-05,            7.36e-05,            7.36e-05
                  90,            0.014255,           0.0048944,           0.0023584,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.33e-05,            7.33e-05,            7.33e-05
                  91,            0.014207,           0.0049571,           0.0019841,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             7.3e-05,             7.3e-05,             7.3e-05
                  92,            0.013844,           0.0048565,           0.0021748,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.27e-05,            7.27e-05,            7.27e-05
                  93,            0.013821,           0.0046081,           0.0018707,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.24e-05,            7.24e-05,            7.24e-05
                  94,             0.01347,           0.0046245,           0.0017279,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.21e-05,            7.21e-05,            7.21e-05
                  95,            0.013693,           0.0048254,           0.0019831,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.18e-05,            7.18e-05,            7.18e-05
                  96,            0.014076,           0.0051244,           0.0025688,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.15e-05,            7.15e-05,            7.15e-05
                  97,            0.013483,           0.0045067,           0.0016491,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.12e-05,            7.12e-05,            7.12e-05
                  98,            0.013045,           0.0044573,           0.0016447,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.09e-05,            7.09e-05,            7.09e-05
                  99,            0.013046,            0.004491,           0.0016742,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.06e-05,            7.06e-05,            7.06e-05
                 100,             0.01361,           0.0045686,           0.0021038,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            7.03e-05,            7.03e-05,            7.03e-05
                 101,             0.01313,           0.0045517,           0.0018389,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               7e-05,               7e-05,               7e-05
                 102,            0.013125,           0.0045345,           0.0016827,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.97e-05,            6.97e-05,            6.97e-05
                 103,            0.012917,           0.0044485,           0.0015168,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.94e-05,            6.94e-05,            6.94e-05
                 104,            0.013183,           0.0045948,           0.0017683,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.91e-05,            6.91e-05,            6.91e-05
                 105,            0.012877,           0.0043719,           0.0017093,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.88e-05,            6.88e-05,            6.88e-05
                 106,            0.012981,           0.0046432,           0.0014107,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.85e-05,            6.85e-05,            6.85e-05
                 107,            0.013014,           0.0046809,           0.0019417,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.82e-05,            6.82e-05,            6.82e-05
                 108,            0.012835,           0.0044878,           0.0018845,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.79e-05,            6.79e-05,            6.79e-05
                 109,            0.012703,             0.00438,            0.001547,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.76e-05,            6.76e-05,            6.76e-05
                 110,            0.012456,           0.0045402,           0.0015751,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.73e-05,            6.73e-05,            6.73e-05
                 111,            0.012594,            0.004375,           0.0015767,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             6.7e-05,             6.7e-05,             6.7e-05
                 112,            0.012342,            0.004429,           0.0013852,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.67e-05,            6.67e-05,            6.67e-05
                 113,            0.012835,            0.004438,           0.0015966,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.64e-05,            6.64e-05,            6.64e-05
                 114,              0.0124,           0.0042495,           0.0013112,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.61e-05,            6.61e-05,            6.61e-05
                 115,             0.01215,           0.0044723,           0.0014092,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.58e-05,            6.58e-05,            6.58e-05
                 116,            0.012186,           0.0044265,           0.0012821,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.55e-05,            6.55e-05,            6.55e-05
                 117,            0.012694,            0.004528,           0.0012939,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.52e-05,            6.52e-05,            6.52e-05
                 118,            0.012202,           0.0042525,           0.0018597,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.49e-05,            6.49e-05,            6.49e-05
                 119,            0.012225,           0.0043704,           0.0014475,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.46e-05,            6.46e-05,            6.46e-05
                 120,            0.012414,           0.0043242,           0.0010848,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.43e-05,            6.43e-05,            6.43e-05
                 121,            0.012473,           0.0046356,           0.0014508,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             6.4e-05,             6.4e-05,             6.4e-05
                 122,            0.012005,           0.0043829,           0.0013198,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.37e-05,            6.37e-05,            6.37e-05
                 123,            0.012159,           0.0045579,              0.0017,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.34e-05,            6.34e-05,            6.34e-05
                 124,            0.012116,           0.0044305,           0.0013764,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.31e-05,            6.31e-05,            6.31e-05
                 125,            0.011818,           0.0041841,           0.0012099,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.28e-05,            6.28e-05,            6.28e-05
                 126,            0.011785,           0.0040858,           0.0014014,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.25e-05,            6.25e-05,            6.25e-05
                 127,            0.012035,           0.0044952,            0.001691,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.22e-05,            6.22e-05,            6.22e-05
                 128,            0.011799,            0.004096,           0.0013811,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.19e-05,            6.19e-05,            6.19e-05
                 129,            0.012095,           0.0046137,           0.0014551,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.16e-05,            6.16e-05,            6.16e-05
                 130,             0.01227,           0.0046065,           0.0015129,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.13e-05,            6.13e-05,            6.13e-05
                 131,            0.011789,           0.0042467,           0.0012551,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             6.1e-05,             6.1e-05,             6.1e-05
                 132,            0.011893,           0.0042436,           0.0016544,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.07e-05,            6.07e-05,            6.07e-05
                 133,            0.011483,           0.0040113,            0.001481,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.04e-05,            6.04e-05,            6.04e-05
                 134,            0.011957,           0.0042612,           0.0015412,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            6.01e-05,            6.01e-05,            6.01e-05
                 135,            0.011384,           0.0040878,           0.0015247,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.98e-05,            5.98e-05,            5.98e-05
