               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,             0.01231,           0.0025704,           0.0013492,             0.97819,             0.94993,             0.97759,             0.74995,            0.018195,           0.0067965,           0.0031419,            0.000856,            0.000856,            0.000856
                  50,            0.012509,           0.0026923,           0.0013893,             0.97364,             0.95375,              0.9787,             0.75578,            0.018298,           0.0066868,           0.0031968,            0.000853,            0.000853,            0.000853
                  51,            0.012484,           0.0026728,           0.0014336,             0.96774,              0.9589,             0.97371,             0.75552,            0.018034,           0.0067426,           0.0031442,             0.00085,             0.00085,             0.00085
                  52,            0.012065,           0.0025582,           0.0016152,             0.97073,             0.94389,             0.97415,             0.74907,             0.01807,           0.0067285,           0.0035628,            0.000847,            0.000847,            0.000847
                  53,            0.011895,           0.0025949,           0.0013358,              0.9609,             0.97105,             0.97808,             0.75549,             0.01785,           0.0067323,           0.0031881,            0.000844,            0.000844,            0.000844
                  54,            0.012068,           0.0024776,           0.0013965,             0.96347,             0.95802,              0.9706,             0.74977,            0.018165,           0.0067946,           0.0034182,            0.000841,            0.000841,            0.000841
                  55,            0.012168,           0.0025478,           0.0013561,             0.95913,             0.96435,             0.97106,             0.75127,            0.018277,           0.0068282,           0.0032483,            0.000838,            0.000838,            0.000838
                  56,            0.011868,           0.0025065,           0.0013207,                0.97,             0.96476,             0.97895,             0.75915,            0.017916,           0.0068106,           0.0030901,            0.000835,            0.000835,            0.000835
                  57,            0.011725,           0.0024803,           0.0012944,             0.97022,             0.94889,             0.97562,             0.75539,            0.017799,           0.0069944,           0.0029863,            0.000832,            0.000832,            0.000832
                  58,            0.011463,           0.0023809,           0.0012703,             0.96324,             0.96194,             0.98129,             0.75962,            0.017905,           0.0068439,           0.0031089,            0.000829,            0.000829,            0.000829
                  59,            0.011527,           0.0023841,           0.0012932,             0.96784,             0.95251,             0.98152,              0.7563,            0.017988,           0.0069912,           0.0031469,            0.000826,            0.000826,            0.000826
                  60,            0.011634,           0.0023715,           0.0012392,             0.95389,             0.96465,             0.98116,             0.75283,            0.018123,            0.007038,           0.0032341,            0.000823,            0.000823,            0.000823
                  61,            0.011271,           0.0023709,           0.0012429,             0.97074,             0.94508,             0.98112,             0.75723,            0.018169,           0.0070657,           0.0033283,             0.00082,             0.00082,             0.00082
                  62,            0.011458,           0.0024648,           0.0012312,             0.97109,             0.96035,             0.98159,             0.76375,            0.017793,            0.006963,           0.0031033,            0.000817,            0.000817,            0.000817
                  63,            0.010806,           0.0022832,           0.0012714,             0.96609,              0.9505,             0.97709,             0.75508,            0.018149,           0.0070429,           0.0031242,            0.000814,            0.000814,            0.000814
                  64,            0.010829,            0.002272,           0.0011824,             0.96654,             0.95834,             0.97685,              0.7584,            0.017969,           0.0070382,           0.0031011,            0.000811,            0.000811,            0.000811
                  65,            0.010822,           0.0023331,           0.0012478,             0.96524,             0.95506,             0.97695,             0.75486,             0.01793,           0.0070233,           0.0033915,            0.000808,            0.000808,            0.000808
                  66,             0.01087,           0.0023217,            0.001194,             0.97384,             0.95204,              0.9779,              0.7557,             0.01787,           0.0069909,           0.0034432,            0.000805,            0.000805,            0.000805
                  67,            0.010572,            0.002216,           0.0011655,             0.97026,             0.96053,             0.98122,             0.76006,            0.017754,           0.0070091,           0.0031133,            0.000802,            0.000802,            0.000802
