               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  44,            0.017196,           0.0055854,            0.003114,             0.96314,             0.94987,             0.96944,             0.75293,            0.018036,           0.0060026,           0.0040689,            8.71e-05,            8.71e-05,            8.71e-05
                  45,            0.018021,           0.0057112,           0.0034822,             0.96049,             0.94995,             0.96969,             0.75435,            0.017977,           0.0059746,           0.0036314,            8.68e-05,            8.68e-05,            8.68e-05
                  46,            0.017924,           0.0058425,           0.0033904,             0.96873,             0.95355,             0.96934,             0.75398,             0.01791,           0.0059763,           0.0035057,            8.65e-05,            8.65e-05,            8.65e-05
                  47,            0.017605,            0.005471,           0.0030503,              0.9627,             0.93743,             0.96508,             0.74502,            0.018131,           0.0061065,           0.0045318,            8.62e-05,            8.62e-05,            8.62e-05
                  48,            0.016917,           0.0055887,           0.0032186,             0.95488,             0.95627,             0.97156,             0.74887,            0.018024,           0.0060294,           0.0038385,            8.59e-05,            8.59e-05,            8.59e-05
                  49,            0.017554,           0.0056592,           0.0032593,             0.96286,             0.96034,             0.97569,             0.75781,            0.017777,           0.0059637,            0.003013,            8.56e-05,            8.56e-05,            8.56e-05
                  50,            0.017368,             0.00591,           0.0036942,              0.9721,             0.94348,             0.97489,             0.75446,             0.01801,           0.0060702,           0.0033835,            8.53e-05,            8.53e-05,            8.53e-05
                  51,            0.017219,           0.0057619,           0.0034287,             0.97072,             0.95704,             0.97488,             0.76356,            0.017682,           0.0059213,           0.0031098,             8.5e-05,             8.5e-05,             8.5e-05
                  52,            0.016879,           0.0056079,           0.0030855,              0.9582,             0.96662,             0.97629,             0.76238,            0.017792,           0.0059773,            0.003183,            8.47e-05,            8.47e-05,            8.47e-05
                  53,            0.016293,            0.005235,           0.0033015,             0.96661,             0.95052,             0.97009,             0.76161,            0.017569,           0.0059091,           0.0035735,            8.44e-05,            8.44e-05,            8.44e-05
                  54,            0.016365,           0.0053847,           0.0026314,             0.95179,             0.94696,             0.96594,             0.75061,            0.018075,           0.0060942,           0.0041606,            8.41e-05,            8.41e-05,            8.41e-05
                  55,            0.016483,           0.0054246,           0.0031083,              0.9615,             0.96031,              0.9751,             0.76077,            0.017654,           0.0059407,            0.003398,            8.38e-05,            8.38e-05,            8.38e-05
                  56,            0.016182,           0.0053929,           0.0023417,             0.96072,             0.96293,             0.97364,             0.75945,            0.017669,            0.005904,           0.0028962,            8.35e-05,            8.35e-05,            8.35e-05
                  57,             0.01643,           0.0055445,           0.0029697,             0.96776,             0.95867,             0.97548,             0.76476,            0.017623,           0.0059285,           0.0027387,            8.32e-05,            8.32e-05,            8.32e-05
                  58,            0.016516,           0.0053242,           0.0025359,             0.96713,             0.95779,              0.9733,              0.7612,            0.017609,           0.0059582,           0.0028234,            8.29e-05,            8.29e-05,            8.29e-05
                  59,             0.01599,            0.005138,           0.0026215,             0.96232,             0.95933,             0.97312,             0.75847,            0.017574,           0.0060118,           0.0029145,            8.26e-05,            8.26e-05,            8.26e-05
                  60,            0.015934,           0.0051853,           0.0026528,             0.96754,              0.9559,             0.97307,             0.75988,            0.017646,           0.0059958,           0.0026874,            8.23e-05,            8.23e-05,            8.23e-05
